target_id	length	replicate_1	replicate_2	replicate_3	replicate_4
ENSCGRG00000000006	955	5618.6	5340.14	5203.56	5007.58
ENSCGRG00000000010	1033	5345.1	5222.08	5046.08	4296.84
ENSCGRG00000000016	1545	7131.07	7130.97	7101.63	6780.51
ENSCGRG00000000019	684	7223.43	7702.87	7973.76	6735.79
ENSCGRG00000000021	204	13371	17127.2	15131.1	13708
ENSCGRG00000000022	681	8432.91	8786.15	8721.51	8087.12
ENSCGRG00000000023	784	11170.2	10879.1	10819.7	9797.33
ENSCGRG00000000025	348	3371.67	3594.61	3109.42	2639.51
ENSCGRG00000000027	297	6145.34	6905.4	6623.57	6305.34
ENSCGRG00000000028	1378	5783.52	6436.28	6390.88	5924.44
ENSCGRG00000000032	1821	1887.61	2137.99	2073.2	1872.88
ENSCGRG00000000033	525	3842.61	3959.91	3878.94	3275.19
ENSCGRG00000000035	1143	4866.84	4885.5	4646.16	4326.73
ENSCGRG00015000006	1230	0.0581143	0.211983	0.216468	0.253134
ENSCGRG00015000007	2563	380.51766	403.89309	385.1916	399.19266
ENSCGRG00015000008	483	217.01678	221.50317	225.71991	222.88871
ENSCGRG00015000009	432	188.264	195.658	182.459	170.112
ENSCGRG00015000010	2029	16.87979	18.30214	15.01561	15.477772
ENSCGRG00015000011	2601	3.272229	4.15035	3.17704	3.289615
ENSCGRG00015000012	1491	18.652	17.8045	17.4876	19.8967
ENSCGRG00015000013	4664	11.81104	12.396109	12.4001837	12.126986
ENSCGRG00015000015	156	0	0	0	0
ENSCGRG00015000016	183	0	0	0	0
ENSCGRG00015000017	495	5063.74706	4905.03	5230.17151	5113.04
ENSCGRG00015000018	420	0.299658	0	0	0
ENSCGRG00015000024	2999	17.6686	18.7666	17.7916	18.8122
ENSCGRG00015000026	492	0	0	0	0
ENSCGRG00015000027	2262	0	0	0	0
ENSCGRG00015000028	1350	8.95052	8.94038	7.99536	7.95101
ENSCGRG00015000029	5085	0	0	0.0108888	0.0385317
ENSCGRG00015000031	2268	0	0	0	0
ENSCGRG00015000032	1620	0	0	0.03861	0.09058
ENSCGRG00015000034	2262	0	0	0	0
ENSCGRG00015000035	2376	0	0	0.0248222	0
ENSCGRG00015000037	2068	23.7982	25.4957	24.604	26.0825
ENSCGRG00015000038	1101	0	0	0	0
ENSCGRG00015000039	1857	7.91806	6.76835	8.25384	7.53039
ENSCGRG00015000041	456	0	0	0	0
ENSCGRG00015000044	1611	10.275	10.4846	9.87221	10.6679
ENSCGRG00015000046	1140	317.096	328.15	307.888	318.259
ENSCGRG00015000047	570	0	0	0	0
ENSCGRG00015000048	597	0	0	0	0
ENSCGRG00015000049	2109	3.23724	5.106	4.65836	4.20678
ENSCGRG00015000050	473	266.881036	277.80087	287.35295	277.874
ENSCGRG00015000054	3369	0	0	0	0
ENSCGRG00015000056	3437	40.5397	43.4254	39.7342	43.2307
ENSCGRG00015000059	1129	12.0605	9.60994	13.0462	10.8634
ENSCGRG00015000060	351	40.6803	46.3941	36.3757	38.0421
ENSCGRG00015000061	411	0	0.370852	0.289738	0
ENSCGRG00015000062	3763	40.191821	41.883556	40.246642	41.502378
ENSCGRG00015000063	327	0	0	0	0
ENSCGRG00015000064	1035	0	0.0881889	0	0
ENSCGRG00015000066	6709	7.427799	8.029513	7.381224	6.995008
ENSCGRG00015000067	4004	6.190246	5.97617	6.881896	6.752235
ENSCGRG00015000069	531	0	0	0	0
ENSCGRG00015000072	708	0	0	0	0
ENSCGRG00015000073	3967	64.5503	71.6208	69.8218	67.793
ENSCGRG00015000074	585	0	0	0.157888	0
ENSCGRG00015000075	1740	0.30509	0.139479	0.106445	0.208232
ENSCGRG00015000078	1143	0	0	0.0594427	0
ENSCGRG00015000079	1587	0	0	0	0
ENSCGRG00015000080	984	0	0	0	0
ENSCGRG00015000081	3171	7.848918	8.869431	7.864797	9.225214
ENSCGRG00015000082	312	0.521077	0	0.484892	0
ENSCGRG00015000083	5229	0	0	0	0
ENSCGRG00015000084	1646	4.67326	3.79192	3.68627	5.4668
ENSCGRG00015000085	885	0	0	0	0
ENSCGRG00015000086	933	0	0	0	0
ENSCGRG00015000087	942	0	0	0	0
ENSCGRG00015000088	2689	18.5601	18.5241	18.5326	18.2497
ENSCGRG00015000090	4076	27.67595	28.00752	28.08813	29.65841
ENSCGRG00015000092	2178	0	0	0	0
ENSCGRG00015000093	432	0	0	0	0
ENSCGRG00015000094	942	0	0	0	0
ENSCGRG00015000095	1125	1.04224	1.10781	0.66746	0.850362
ENSCGRG00015000098	1308	17.2171	20.4881	20.0373	20.1085
